voting_session_id,session_date,legislatura,total_deputies,not_found_orientation,PP_orientation,PL_orientation,PCdoB_orientation,PDT_orientation,PT_orientation,PSD_orientation,REPUBLIC_orientation,PSOL_orientation,UNIÃO_orientation,PSDB_orientation,MDB_orientation,PODE_orientation,yes_deputies,no_deputies,other_deputies,yes_orientation_percentage,no_orientation_percentage,other_orientation_percentage,CIDADANIA_orientation,PSB_orientation,SOLIDARI_orientation,AVANTE_orientation,PRD_orientation,PV_orientation,NOVO_orientation,REDE_orientation,S.PART._orientation
108076-6,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115653-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
37564-52,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115870-16,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
44891-9,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
105029-63,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115155-60,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
105029-61,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115155-58,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
118500-4,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
118499-9,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
118500-5,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
108790-4,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
99662-2,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
64339-5,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
64338-5,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
117427-4,2003-06-04,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
108207-29,2003-06-05,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
118198-5,2003-06-05,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116897-40,2003-06-10,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116897-57,2003-06-10,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116897-59,2003-06-10,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116898-34,2003-06-10,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
117944-14,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116898-51,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116898-69,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119655-4,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
117944-15,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116898-72,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
116898-74,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
103253-6,2003-06-11,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119150-22,2003-06-12,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119780-4,2003-06-12,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19274-36,2003-06-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19274-32,2003-06-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19274-33,2003-06-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58432-47,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
18564-58,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58432-43,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58432-44,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
18564-54,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
121460-3,2003-06-25,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
66155-44,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
120510-6,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
66155-40,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
66155-41,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
120518-3,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
120510-5,2003-06-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
50717-55,2003-07-02,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
50717-57,2003-07-02,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106560-80,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58431-45,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
102861-77,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106560-78,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58431-41,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
58431-42,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
102861-55,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
102861-59,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
102861-60,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119150-47,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119150-49,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
119150-56,2003-07-08,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
117944-49,2003-07-09,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19717-33,2003-07-09,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
117944-47,2003-07-09,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
34347-100,2003-07-22,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
